カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
													チュパ アミトス	Lv23 クリーム			
														Lv45 ロレックス			
														Lv44 チルディ			
全裸 アミトス	アミトス・アミテージ	３８	１９歳	１７６ｃｍ	７８ｋｇ	へルマン第１軍将軍	剣１、ガード１	ランスにレイプされそうになったことがあるが	鉄の意志をもってハイパー兵器を処女膜で防いだ	"\"""	ヘルマン革命の折、評議委員バショウに拷問を受け	処女を失った	Lv38 アミトス	Lv39 シーラ			
													全裸 アミトス	Lv45 ヒューバート			
													チュパ アミトス	Lv23 クリーム			
														Lv45 ロレックス			
														Lv44 チルディ			
チュパ アミトス	アミトス・アミテージ	３８	１９歳	１７６ｃｍ	７８ｋｇ	へルマン第１軍将軍	剣１、ガード１	ケッセルリンクに噛まれたことにより	チュパ病にかかった彼女は常の誇り高き姿など	忘却の彼方へ追いやってしまった	血液の極度な渇望、真っ赤に染まった瞳、理性を失った心	その姿からは在りし日の彼女の面影は見えない	Lv38 アミトス	Lv39 シーラ			
													全裸 アミトス	Lv45 ヒューバート			
													チュパ アミトス	Lv23 クリーム			
														Lv45 ロレックス			
														Lv44 チルディ			
Lv33 トルストイ	トルストイ・バトー	３３	２３歳	１９３ｃｍ	９１ｋｇ	ヘルマン第２軍副将	統率１	入れ替わりの激しいヘルマン２軍で、	才覚をあらわにし若くして副将となった	"\"""	家族と国を愛するが、どこまでも熱くならず	冷静に判断できる男	Lv33 トルストイ	Lv39 シーラ			
														Lv45 ヒューバート			
Lv48 フレイア	フレイア・イズン	４８	４０歳	１６９ｃｍ	？？	闇の翼頭領	くのいち１、統率１	暗殺者組織に両親を殺され、幼い彼女は拉致された	家族の思い出は薄く、彼女もまた生粋の暗殺者となった	"\"""	常に組織を存続させることを第一として行動する	冷酷な女性だが、面倒見が良い一面もある	Lv48 フレイア	Lv39 シーラ			
													全裸 フレイア	Lv45 ヒューバート			
													ブラックスワン	Lv40 闇鷺			
														Lv40 かなみ			
全裸 フレイア	フレイア・イズン	４８	４０歳	１６９ｃｍ	？？	闇の翼頭領	くのいち１、統率１	女アサシンとして、房中術の訓練を受けており	セックスの間も油断ならない恐ろしい女性	"\"""	Ｓっ気があり、かなみの下に付いていた頃に	「部下」として彼女を可愛がってあげたことも	Lv48 フレイア	Lv39 シーラ			
													全裸 フレイア	Lv45 ヒューバート			
													ブラックスワン	Lv40 闇鷺			
														Lv40 かなみ			
ブラックスワン	フレイア・イズン	４８	４０歳	１６９ｃｍ	？？	闇の翼頭領	くのいち１、統率１	闇の翼頭領、ブラックスワン	その噂をヘルマンで聞いたことのある者は多けれど、	こと正体の話になればまさに影のように誰にも掴めない	仮面の下は闇の翼の構成員にも明かせぬ秘匿事項である	……最近は大勢にもうバレちゃったので半ば適当	Lv48 フレイア	Lv39 シーラ			
													全裸 フレイア	Lv45 ヒューバート			
													ブラックスワン	Lv40 闇鷺			
														Lv40 かなみ			
Lv40 闇鷺	闇鷺	４０	？？？	１６５ｃｍ	？？	闇の翼副官	忍者１	フレイアの指示を組織内外に伝達し、	直接の指揮を執る役割が多い	"\"""	そのため組織内では、フレイアよりも面が通っている	闇の翼の副官が頭領になることは無い	Lv40 闇鷺	Lv48 フレイア			
													全裸 闇鷺				
全裸 闇鷺	闇鷺	４０	？？？	１６５ｃｍ	？？	闇の翼副官	忍者１	くのいちの訓練は少しだけ受けたが	才能が無かったため房中術は使えない	セックスに関してはほぼ素人レベル	"\"""	パットン暗殺に失敗した折ランスにレイプされている	Lv40 闇鷺	Lv48 フレイア			
													全裸 闇鷺				
Lv11 アナセル	アナセル・カスポーラ	１１	２０歳	１６２ｃｍ	？？	村娘	音楽１	ヘルマンの没落貴族の娘。両親を失い、	ヘルマンの寒村を転々と移り住んでいる	"\"""	高飛車な性格で村人と良好な関係を築くことが出来ない	"\"""	Lv11 アナセル	"\"""			
													特上贄 アナセル				
													全裸 アナセル				
特上贄 アナセル	アナセル・カスポーラ	１１	２０歳	１６２ｃｍ	？？	村娘	音楽１	住んでいる村がピンチに陥るたびに、	なぜかランスが通りがかる	そのたびにランスが褒美を要求し、	そのたびに彼女が差し出される	そんな人生	Lv11 アナセル	"\"""			
													特上贄 アナセル				
													全裸 アナセル				
全裸 アナセル	アナセル・カスポーラ	１１	２０歳	１６２ｃｍ	？？	村娘	音楽１	生贄としてランスに処女を奪われて以来	男を寄せ付けまいとかたくなにガードしてきた	"\"""	しかし結局ランスが現れるので	ランスとばかりエッチすることに	Lv11 アナセル	"\"""			
													特上贄 アナセル				
													全裸 アナセル				
Lv30 ルーベラン	ルーベラン・ツェール	３０	２６歳	１６７ｃｍ	？？	へルマン警備隊	剣１	家が非常に貧しく、家計を助けるために軍に入った	"\"""	真面目すぎて少々融通が利かず、	人から恨みを買ってしまう損な性格	"\"""	Lv30 ルーベラン	Lv30 メリム			
													全裸 ルーベラン				
全裸 ルーベラン	ルーベラン・ツェール	３０	２６歳	１６７ｃｍ	？？	へルマン警備隊長	剣１	同僚の彼氏がいたが、彼氏の不正の現場を目撃	逮捕しようとするも、逆上してレイプされた	"\"""	また連続レイプ犯として指名手配されていたランスを	捕らえようとするも、返り討ちに合いレイプされた	Lv30 ルーベラン	Lv30 メリム			
													全裸 ルーベラン				
Lv30 メリム	メリム・ツェール	３０	２２歳	１５５ｃｍ	？？	遺跡探検家	不幸１、探索１	遺跡探索マニアの女の子。奴隷的境遇にあったが	闘神都市でランスと出会い、解放された	辛い過去にもめげず、明るく前向きに生きている	"\"""	眼鏡が外れないハニーの呪いを受けている。問題無いね	Lv30 メリム	Lv30 ルーベラン			
													全裸 メリム	Lv45 ヒューバート			
全裸 メリム	メリム・ツェール	３０	２２歳	１５５ｃｍ	？？	遺跡探検家	不幸１、探索１	ヘルマンの名家の生まれだが、家が没落し、	口減らしのため、ゴルチ家に売られた	"\"""	ゴルチ家で奴隷として様々な性的虐待を受けており	ＳＭやアナルセックスなどの調教も受けている	Lv30 メリム	Lv30 ルーベラン			
													全裸 メリム	Lv45 ヒューバート			
Lv54 パットン	パットン・ヘルマン	５４	３４歳	２０８ｃｍ	２１０ｋｇ	冒険者	格闘１、ガード１、プロレス２	ヘルマン最後の皇帝	傲慢で愚かな王子であったが、戦争と政争に敗れて	国を追われて以来、自分を見つめなおし、己を鍛え上げ、	心も身体も一人前以上の男となった	祖国へルマン、そして妹シーラを影から守る	Lv54 パットン	ハンティ			
													Lv70 パットン	Lv39 シーラ			
													黒歴史 パットン	Lv45 ヒューバート			
														キャンテル			
														闘神 ゼータ			
Lv70 パットン	パットン・ヘルマン	７０	３４歳	２０８ｃｍ	２１０ｋｇ	冒険者	格闘１、ガード１、プロレス２	最強の王、ザナゲス・ヘルマンの血を引くパットンだが	剣の才能はいまひとつであった	失脚した後、武者修行の時期に、素手の戦いに	己を見出し、鍛錬によって頑健極まる肉体を手に入れた	被弾を省みない特攻攻撃「武舞乱舞」が必殺技	Lv54 パットン	ハンティ			
													Lv70 パットン	Lv39 シーラ			
													黒歴史 パットン	Lv45 ヒューバート			
														キャンテル			
														闘神 ゼータ			
黒歴史 パットン	パットン・ヘルマン	１８	ｘｘｘ	１９０ｃｍ	８７ｋｇ	ヘルマン帝国王子（当時）	格闘１、ガード１、プロレス２	パットンは皇帝の独り子であり、当然皇太子であったが	皇帝の晩年に後妻パメラがシーラを産むと宰相ステッセル	の暗躍により跡継ぎとしての立場を危ぶめていった	策謀に疎いパットンは、宮廷で孤立していくほどに	やる気を失い、自堕落へ陥っていった。	Lv54 パットン	ハンティ			
													Lv70 パットン	Lv39 シーラ			
													黒歴史 パットン	Lv45 ヒューバート			
Lv28 ピグ	ピグ・ギリシアム	２８	１６歳	１４２ｃｍ	３２ｋｇ	ピグ	物書き１	狂気の天才科学者オアマ博士によって	改造手術を受けた少女	人間とイカマンとぷりょの合成生物となった	"\"""	ぷりょの特性から、肉体を分裂させることができる	Lv28 ピグ	Lv43 ミラクル			
													Lv45 ピグ				
													タイニー ピグ				
													全裸 ピグ				
													ピグ 1/2				
Lv45 ピグ	ピグ・ギリシアム	４５	１６歳	１４２ｃｍ	３２ｋｇ	ピグ	物書き１	ジャーナリストであった父親が秘密警察に捕まり	家族は皆人体実験の犠牲となったため天涯孤独の身	自身も人ならざる身となってしまったが	それでもピグはピグらしく、前向きに、自由に生きる	"\"""	Lv28 ピグ	Lv43 ミラクル			
													Lv45 ピグ				
													タイニー ピグ				
													全裸 ピグ				
													ピグ 1/2				
タイニー ピグ	110101100101010	011100	010000	010001110	0100000	101011110001111010	10101011101010	000100001110000001111100101000000000	000111101010000010000100101000000000	000100001110000100001000101000000000	000100000000000000010000000000000000	000111110000000000100000000000000000	Lv28 ピグ	タイニー ミラクル			
													Lv45 ピグ	タイニー ランス			
													タイニー ピグ	タイニー シィル			
													全裸 ピグ	タイニー リセット			
													ピグ 1/2	タイニー ナギ			
全裸 ピグ	ピグ・ギリシアム	２８	１６歳	１４２ｃｍ	３２ｋｇ	ピグ	物書き１	ランスに囚われて、レイプと称して初体験をしたため	セックス＝レイプという言葉で覚えてしまっている	レイプは楽しいので大好き	ランスに自分以外とするなと言われたので	ランスとしかレイプしない	Lv28 ピグ	Lv43 ミラクル			
													Lv45 ピグ				
													タイニー ピグ				
													全裸 ピグ				
													ピグ 1/2				
ピグ 1/2	ピグ・ギリシアム	２８	１６歳	１０６ｃｍ	１６ｋｇ	ピグ	物書き１	ピグだぞー	こんにちはー	"\"""	リーザスはごはんおいしいね	"\"""	Lv28 ピグ	Lv43 ミラクル			
													ピグ 1/2				
													ピグ 1/4				
													ピグ 1/8				
													ピグ 1/16				
ピグ 1/4	ピグ・ギリシアム	２８	１６歳	７１ｃｍ	８ｋｇ	ピグ	物書き１	ピグだぞー	ゼスだぞー	"\"""	緑色のおじいちゃんが「研究してみたい」って言ってた	でもしないんだって	Lv28 ピグ	Lv43 ミラクル			
													ピグ 1/2				
													ピグ 1/4				
													ピグ 1/8				
													ピグ 1/16				
ピグ 1/8	ピグ・ギリシアム	２８	１６歳	３５．５ｃｍ	４ｋｇ	ピグ	物書き１	ピグだぞー	"\"""	今はランス城に住んでるから最初はこっちにいたんだけど	ヘルマンに行きなさいって偉い人にいわれた	"\"""	Lv28 ピグ	Lv43 ミラクル			
													ピグ 1/2				
													ピグ 1/4				
													ピグ 1/8				
													ピグ 1/16				
ピグ 1/16	ピグ・ギリシアム	２８	１６歳	１４．２ｃｍ	２ｋｇ	ピグ	物書き１	ピグだぞー	主人公だぞー	"\"""	てやー、ランスアターック	ばばーん	Lv28 ピグ	Lv43 ミラクル			
													ピグ 1/2				
													ピグ 1/4				
													ピグ 1/8				
													ピグ 1/16				
Lv53 サムソン	サムソン・マキシモフ	５３	３４	１９４ｃｍ	１０１ｋｇ	ヘルマン地方警備隊	槍２	世捨て人の如く山にこもり修行に明け暮れていた男	世界の情勢を知り慌ててヘルマン軍に入隊した	将軍級の実力を持ちながら、世間知らずで	要領も悪いため、組織の仕組みなどもわからず	小さな都市の警備隊に収まっていた。	Lv53 サムソン	"\"""			
Lv53 デストラー	ビンタン・デストラー	５３	００歳	１８３ｃｍ	９２ｋｇ	ヘルマン第１軍 魔物使い部隊長	魔物使い２、性技１	魔物使い兵を多数抱えるヘルマン軍にあって、	現在ナンバーワンの実力者。	多くの弟子を抱え、魔物使い関係の書籍も出版している	また、別のジャンルの本も多数出版している	"\"""	Lv53 デストラー	Lv47 オノハ			
Lv40 イオ	イオ・イシュタル	４０	２６	１６４ｃｍ	？？	ヘルマン第１軍 魔法兵	魔法１	ヘルマン軍では貴重な上位の魔法使い	とても不真面目でウソを吐くのが好き	"\"""	闘神都市探索部隊として、	ヒューバートらと行動を共にしたことがある	Lv40 イオ	Lv45 ヒューバート			
													全裸 イオ				
全裸 イオ	イオ・イシュタル	４０	２６	１６４ｃｍ	？？	ヘルマン第１軍 魔法兵	魔法１	エッチは大好きだが性癖はドＳ	"\"""	闘神都市では、催眠魔法をかけたランスと一緒に	シィルをさんざんにいじめまくった	"\"""	Lv40 イオ	Lv45 ヒューバート			
													全裸 イオ				
Lv40 マジック	マジック・ザ・ガンジー	４０	１８歳	１６２ｃｍ	？？	ゼス四天王	魔法２	国王ラグナロックアークの一人娘。ゼス四天王であり	一児の母であり、上級学生の生徒でもあり非常に忙しい	真面目で責任感が強く、それゆえ周囲の期待に応えようと	頑張り過ぎ、自分を追い詰めてしまう性質がある	ランスを真人間にしようと（無駄な）努力をしている	Lv40 マジック	Lv60 ガンジー			
													Lv69 マジック	Lv50 千鶴子			
													運命の女 マジック	Lv44 アレックス			
													全裸 マジック	Lv13 エロピチャ			
													壊れた マジック	Lv20 リア			
Lv69 マジック	マジック・ザ・ガンジー	６９	１８歳	１６２ｃｍ	？？	ゼス四天王	魔法２	魔法至上主義の時代のゼスで若くして四天王に任命された	その魔力は、ゼス王家の血を証明するに足る力を持つ	"\"""	いまいち頼りきれない印象もあるが	三大国の姫の中では間違いなく最強の戦闘力を誇る	Lv40 マジック	Lv60 ガンジー			
													Lv69 マジック	Lv50 千鶴子			
													運命の女 マジック	Lv44 アレックス			
													全裸 マジック	Lv13 エロピチャ			
													壊れた マジック	Lv20 リア			
運命の女 マジック	マジック・ザ・ガンジー	６９	１８歳	１６２ｃｍ	？？	ゼス四天王	魔法２	勘違いから始まった頼りない交際。マジックは、つとめて	ランスを好きになろうと努力した。ランスはそれに応える	器を持っていた。結婚式はすっぽかされた。	・ランスとの間に娘スシヌを生んでいる	・電卓迷宮：雷王の小槌	Lv40 マジック	Lv60 ガンジー			
													Lv69 マジック	Lv50 千鶴子			
													運命の女 マジック	Lv44 アレックス			
													全裸 マジック	Lv13 エロピチャ			
													壊れた マジック	Lv20 リア			
全裸 マジック	マジック・ザ・ガンジー	４０	１８歳	１６２ｃｍ	？？	ゼス四天王	魔法２	もとは、アレックスと清い交際関係にあったが、ランスと	セックスしてしまったという勘違いからランスとの結婚を	決意。その後結局本当に処女を奪われてしまった。	その後もランスの恋人として懸命にランスの求めに応え	奉仕したり、悪戯されたり頑張ってきた	Lv40 マジック	Lv60 ガンジー			
													Lv69 マジック	Lv50 千鶴子			
													運命の女 マジック	Lv44 アレックス			
													全裸 マジック	Lv13 エロピチャ			
													壊れた マジック	Lv20 リア			
壊れた マジック	マジック・ザ・ガンジー	４０	１８歳	１６２ｃｍ	？？	ゼス四天王	魔法２	性交回数：１２５回	妊娠回数：１回	備考：テスト最低値の個体が執着、優先的に抱かせる	   精神崩壊した模様。生殖機能は問題なし。出産間近	［マジックを担当した魔物兵の手記より］	Lv40 マジック	Lv60 ガンジー			
													Lv69 マジック	Lv50 千鶴子			
													運命の女 マジック	Lv44 アレックス			
													全裸 マジック	Lv13 エロピチャ			
													壊れた マジック	Lv20 リア			
Lv47 ウルザ	ウルザ・プラナアイス	４７	２５歳	１６６ｃｍ	？？	ゼス四天王 ゼス警察長官	剣１、弓１、軍師１、政治１	元レジスタンスのリーダー	作戦の失敗によって家族や仲間を失った時	心が折れ、戦う意志を失ってしまった	しかしゼスが最悪の危機に直面した時、人々を救うため、	仲間の死を無駄にしないため、彼女は再び立ち上がった	Lv47 ウルザ	Lv60 ガンジー			
													Lv75 ウルザ	Lv40 マジック			
													全裸 ウルザ	Lv50 千鶴子			
														Lv13 チョチョマン			
														Lv6 キムチ			
Lv75 ウルザ	ウルザ・プラナアイス	７５	２５歳	１６６ｃｍ	？？	ゼス四天王 ゼス警察長官	剣１、弓１、軍師１、政治１	遠距離にあってはボウガンによる精密無比の射撃を行い	強引に接近してきた敵には腰に下げた	ショートソードを抜き払う	激しい戦闘でも周囲への指揮は絶やさない	遠近自在・文武両道のオールマイティな優秀さを持つ	Lv47 ウルザ	Lv60 ガンジー			
													Lv75 ウルザ	Lv40 マジック			
													全裸 ウルザ	Lv50 千鶴子			
														Lv13 チョチョマン			
														Lv6 キムチ			
全裸 ウルザ	ウルザ・プラナアイス	４７	２５歳	１６６ｃｍ	？？	ゼス四天王 ゼス警察長官	剣１、弓１、軍師１、政治１	自信を喪失していた時代、ランスに付け込まれて	処女を奪われ、良いように身体を弄ばれていた	"\"""	今はランス相手にも簡単に身体を許す事は無い、が	なんだかんだ、良い雰囲気になることもあったり	Lv47 ウルザ	Lv60 ガンジー			
													Lv75 ウルザ	Lv40 マジック			
													全裸 ウルザ	Lv50 千鶴子			
														Lv13 チョチョマン			
														Lv6 キムチ			
Lv50 千鶴子	山田千鶴子	５０	２３歳	１７０ｃｍ	？？	ゼス四天王	魔法１、情報魔法２、経営１	最高峰の情報魔法と極悪な服装センスの持ち主	ガンジー王を心から敬愛しており、放浪癖のある彼に	代わって、国政の中枢を支え続けてきた	"\"""	政務と同時にアニスのお守りにも頭を悩ませている	Lv50 千鶴子	Lv60 ガンジー			
													Lv45 千鶴子	Lv56 アニス			
													全裸 千鶴子	Lv40 マジック			
														Lv47 ウルザ			
														Lv13 チョチョマン			
Lv45 千鶴子	山田千鶴子	４５	２３歳	１７０ｃｍ	？？	ゼス四天王	魔法１、情報魔法２、経営１	四天王としての豪華絢爛な正装は自分で考案したもの	理知と威厳と規律と色気を兼ね揃えた渾身のデザイン	今回の戦争では魔力増幅の必要性にかられた結果	装備との兼ね合いで泣く泣く地味な	アシンメトリーの装飾になってしまった	Lv50 千鶴子	Lv60 ガンジー			
													Lv45 千鶴子	Lv56 アニス			
													全裸 千鶴子	Lv40 マジック			
														Lv47 ウルザ			
														Lv13 チョチョマン			
全裸 千鶴子	山田千鶴子	５０	２３歳	１７０ｃｍ	？？	ゼス四天王	魔法１、情報魔法２、経営１	美人なのだが残念な服装センスのせいでモテない	"\"""	男に言い寄られることもなく、本人もガンジー王	以外の異性に魅力を感じたことが無いので	男性とお付き合いした経験は皆無	Lv50 千鶴子	Lv60 ガンジー			
													Lv45 千鶴子	Lv56 アニス			
													全裸 千鶴子	Lv40 マジック			
														Lv47 ウルザ			
														Lv13 チョチョマン			
Lv56 アニス	アニス・沢渡	５６	２２歳	１６７ｃｍ	？？	小間使い	魔法３	魔法ＬＶ３と絶大な魔力を持つ人類最強の魔法使い	しかし、頭がへっぽこすぎて、まともに力を使うことが	できず、その才能はむしろ災厄と化している	"\"""	付いたあだ名が「味方殺しのアニス」	Lv56 アニス	Lv50 千鶴子			
													Lv88 アニス				
													全裸 アニス				
Lv88 アニス	アニス・沢渡	８８	２２歳	１６７ｃｍ	？？	小間使い	魔法３	有り余る魔力を暴発させるように魔法を放つアニスだが、	魔法ＬＶ３だけに極めて高度な魔法も操ることができる	"\"""	最強の攻撃魔法「黒色破壊光線」は、その恐るべき	破壊が仲間に降り注がないことを祈るばかりである	Lv56 アニス	Lv50 千鶴子			
													Lv88 アニス				
													全裸 アニス				
全裸 アニス	アニス・沢渡	５６	２２歳	１６７ｃｍ	？？	小間使い	魔法３	彼女を異性として見ようとする命知らずな男性は	今までおらず、保護者である千鶴子のお堅い性格も	相まって、長らく男性経験は無かった	"\"""	ランスに貫かれたことがトラウマになっているもよう	Lv56 アニス	Lv50 千鶴子			
													Lv88 アニス				
													全裸 アニス				
Lv60 ガンジー	ラグナロックアーク・スーパー・ガンジー	６０	４９歳	２１０ｃｍ	？？	ゼス国王 アイスフレーム現リーダー	魔法２、剣１	ゼスの未来を考える立派な人格者だが、王でありながら	放浪癖があり表舞台に出ることを好まない変人でもある	悪人にも慈悲の心で接するが仏の顔は三度までである	"\"""	ランスの英雄としての資質をいち早く見抜いた	Lv60 ガンジー	Lv40 マジック			
													Lv99 ガンジー	Lv13 エロピチャ			
														Lv25 リズナ			
														Lv38 カオル			
														Lv35 ウィチタ			
Lv99 ガンジー	ラグナロックアーク・スーパー・ガンジー	９９	４９歳	２１０ｃｍ	？？	ゼス国王 アイスフレーム現リーダー	魔法２、剣１	魔法大国の王でありながら、恵まれた肉体を持ち	最前に立って戦える力を持っている	肉弾戦にあっては拳を振るうことを	得意とし、また、その強大な魔力は	ただの炎の矢ですら必殺の破壊力を持つ	Lv60 ガンジー	Lv40 マジック			
													Lv99 ガンジー	Lv13 エロピチャ			
														Lv25 リズナ			
														Lv38 カオル			
														Lv35 ウィチタ			
Lv38 カオル	カオル・クインシー・神楽	３８	２１歳	１５６ｃｍ	？？	ガンジーの護衛	神魔法１、柔術２	普段は聡明で一見すると常識的な女性だが、ガンジーの	言う事を絶対とし全てにおいて彼が正しいと信じている	その想いはもはや信仰に近い	"\"""	古流柔術・天然武神流の免許皆伝。神楽とはその称号	Lv38 カオル	Lv60 ガンジー			
													全裸 カオル	Lv35 ウィチタ			
全裸 カオル	カオル・クインシー・神楽	３８	２１歳	１５６ｃｍ	？？	ガンジーの護衛	神魔法１、柔術２	任務のために女を使うことも多々あるが、知り合いの	娼婦から学んだテクニックを駆使して本番は避けている	"\"""	初めてはどうしてもガンジーにもらって欲しいと	彼に頼み込み純潔を捧げている	Lv38 カオル	Lv60 ガンジー			
													全裸 カオル	Lv35 ウィチタ			
Lv35 ウィチタ	ウィチタ・スケート	３５	１８歳	１５８ｃｍ	？？	ガンジーの護衛	剣１、魔法１	代々ゼス国王の警護をしてきた家の娘	マジックの級友でもある	"\"""	カオル同様ガンジーを信奉している	非常に珍しい魔法剣の使い手	Lv35 ウィチタ	Lv60 ガンジー			
													全裸 ウィチタ	Lv35 ウィチタ			
														Lv40 マジック			
全裸 ウィチタ	ウィチタ・スケート	３５	１８歳	１５８ｃｍ	？？	ガンジーの護衛	剣１、魔法１	初めてはガンジーに捧げたいと思っていたのだが	ランスに襲われ、処女を奪われている	"\"""	その後も何度かランスに抱かれてしまった	ガンジーにはまだ抱いてもらっていない	Lv35 ウィチタ	Lv60 ガンジー			
													全裸 ウィチタ	Lv35 ウィチタ			
														Lv40 マジック			
Lv44 アレックス	アレックス・ヴァルス	４４	２３歳	１７１ｃｍ	５５ｋｇ	ゼス光軍将軍	魔法２、統率１	ゼス名門の家柄で誠実な好青年	四将軍の中では弟のような存在	マジックと清い交際をしていたが、ランスに寝取られた	傷心の折にエロピチャが彼を慰め、付き合うようになり	最近婚約した。プロポーズはアレックスから	Lv44 アレックス	Lv13 エロピチャ			
													Lv80 アレックス	Lv40 マジック			
														Lv46 カバッハーン			
														Lv41 サイアス			
														Lv32 ウスピラ			
Lv80 アレックス	アレックス・ヴァルス	８０	２３歳	１７１ｃｍ	５５ｋｇ	ゼス光軍将軍	魔法２、統率１	マジックと交際して以来、アレックスは彼女に釣り合う	人間になるべく努力を重ね、光の将軍の地位を手にした	"\"""	鍛え上げられた白色破壊光線の威力は	大陸に並ぶ者無し	Lv44 アレックス	Lv13 エロピチャ			
													Lv80 アレックス	Lv40 マジック			
														Lv46 カバッハーン			
														Lv41 サイアス			
														Lv32 ウスピラ			
Lv41 サイアス	サイアス・クラウン	４１	３１歳	１８１ｃｍ	７０ｋｇ	ゼス炎軍将軍	魔法２、園芸１	ゼスでも特に古い名門の出。用意されていた	行政長官の椅子を蹴り、一兵卒から軍に入る	将軍の地位は実力で手に入れた	「炎」の冠とは対照的に、４将軍の中でも	もっとも冷静な戦局眼をもって戦場にあたる	Lv41 サイアス	Lv32 ウスピラ			
													Lv36 サイアス	Lv46 カバッハーン			
														Lv44 アレックス			
Lv36 サイアス	サイアス・クラウン	３６	３１歳	１８１ｃｍ	７０ｋｇ	ゼス炎軍将軍	魔法２、園芸１	女性経験は豊富で、昔は女泣かせの	プレイボーイだった	軍に入り、ウスピラと出会って、	その心の強さに胸を打たれた	それからは彼女ひとすじ	Lv41 サイアス	Lv32 ウスピラ			
													Lv36 サイアス	Lv46 カバッハーン			
														Lv44 アレックス			
Lv32 ウスピラ	ウスピラ・真冬	３２	２６歳	１６２ｃｍ	？？	ゼス氷軍将軍	魔法２、統率１	事業に失敗した両親が一家心中するも、彼女だけが	生き残り、借金のカタに売られてしまった	過酷な経験から心を閉ざしてしまったが、四将軍に	だけは心を開いている。非凡な軍統率力を持つが	自分一人で突っ走ってしまうきらいがある	Lv32 ウスピラ	Lv41 サイアス			
													Lv29 ウスピラ	Lv46 カバッハーン			
													全裸 ウスピラ	Lv44 アレックス			
Lv29 ウスピラ	ウスピラ・真冬	２９	２６歳	１６２ｃｍ	？？	ゼス氷軍将軍	魔法２、統率１	過酷な過去や、ゼス崩壊時に多くの部下を死なせた	ことからか、自分の幸せを考えることを拒む節がある	彼女が誰よりも心を許していないのは	自分自身なのかもしれない	そんな凍てつく氷もいずれ炎で溶かされる	Lv32 ウスピラ	Lv41 サイアス			
													Lv29 ウスピラ	Lv46 カバッハーン			
													全裸 ウスピラ	Lv44 アレックス			
全裸 ウスピラ	ウスピラ・真冬	３２	２６歳	１６２ｃｍ	？？	ゼス氷軍将軍	魔法２、統率１	ゼス長官に買い取られた彼女は成績優秀であったため、	学業を続けることはできたが裏では慰み者にされ続けた	輪姦、獣姦、拷問……あらゆる苦痛を味わってきている	現在サイアスのプロポーズを保留しているが、	傍からはいちゃいちゃしているように見える	Lv32 ウスピラ	Lv41 サイアス			
													Lv29 ウスピラ	Lv46 カバッハーン			
													全裸 ウスピラ	Lv44 アレックス			
Lv46 カバッハーン	カバッハーン・ザ・ライトニング	４６	８３歳	１７８ｃｍ	７５ｋｇ	ゼス雷軍将軍 魔法学園講師	魔法２、魔法科学１	「雷帝」の異名を持つ雷魔法のエキスパート	四天王や他の四将軍からも信頼篤いゼス軍の重鎮	"\"""	２匹の気まぐれな雷の妖精に好かれ、	「もっとも雷に愛された男」とも言われる	Lv39 カバッハーン	Lv41 サイアス			
													Lv46 カバッハーン	Lv32 ウスピラ			
														Lv44 アレックス			
														Lv60 ガンジー			
														魔女 ミステリア			
Lv39 カバッハーン	カバッハーン・ザ・ライトニング	３９	８３歳	１７８ｃｍ	７５ｋｇ	ゼス雷軍将軍 魔法学園講師	魔法２、魔法科学１	軍人であると同時に教師であり、研究者でもある彼は	ゼスの魔法文化を広く支えている	"\"""	若かりし頃は冒険家で、様々な場所を訪れ	知見を深めてきた	Lv39 カバッハーン	魔女 ミステリア			
													Lv46 カバッハーン	Lv46 アム			
														Lv?? ホ・ラガ			
														魔女 リクチェル			
														ＫＤ			
Lv17 ネルソン	ネルソン・サーバー	１７	５４歳	１６７ｃｍ	４３ｋｇ	革命家	話術２、魔法０	パパイアの実父。反政府組織ペンタゴンに入り	過激なテロリストとなっていった	"\"""	未熟な革命は成されず、全てを失った扇動家は	失意の果てに新たな答えを見出した	Lv17 ネルソン	Lv48 パパイア			
														Lv54 パットン			
Lv48 パパイア	パパイア・サーバー	４８	２５歳	１７１ｃｍ	？？	魔法研究者	魔法１、生命科学２	元ゼス四天王。志に燃えた娘だったが	危険な魔術書「ノミコン」によって精神が犯され	狂気の人体研究実験を繰り返していた	ノミコンから解放されてからは、罪滅ぼしのため	山奥の研究所で人々のための研究を続けている	Lv48 パパイア	Lv17 ネルソン			
													全裸 パパイア	Lv50 千鶴子			
														Lv47 ウルザ			
														Lv40 マジック			
														Lv43 ナギ			
全裸 パパイア	パパイア・サーバー	４８	２５歳	１７１ｃｍ	？？	魔法研究者	魔法１、生命科学２	ノミコンの狂気に飲まれた彼女が最初にしたことは	彼女に憧れていた部下を誘惑し肉欲に溺れることだった	この時が彼女の初体験である	正気を取り戻した今も、淫蕩に耽った日々の記憶は	心と身体に刻まれている	Lv48 パパイア	Lv17 ネルソン			
													全裸 パパイア	Lv50 千鶴子			
														Lv47 ウルザ			
														Lv40 マジック			
														Lv43 ナギ			
