マップデータ				
string Node Prefix	int サイズ.values	int マップ位置.values	string 種別	int 番号
		8		
クルックーの護衛.データ.００４３		32	道（─）	
		10		
クルックーの護衛.データ.００４４		32	箱	140
		12		
クルックーの護衛.データ.００４５		32	道（┌）	
		15		
クルックーの護衛.データ.００４６		32	箱	210
		16		
クルックーの護衛.データ.００４７		32	道（└）	
		17		
クルックーの護衛.データ.００４８		33	道（─）	
		8		
クルックーの護衛.データ.００４９		33	道（─）	
		10		
クルックーの護衛.データ.００５０		33	道（─）	
		15		
クルックーの護衛.データ.００５１		33	道（─）	
		17		
クルックーの護衛.データ.００５２		34	道（─）	
		8		
クルックーの護衛.データ.００５３		34	箱	110
		10		
クルックーの護衛.データ.００５４		34	箱	220
		15		
クルックーの護衛.データ.００５５		34	箱	230
		17		
クルックーの護衛.データ.００５６		35	道（┌）	
		7		
クルックーの護衛.データ.００５７		35	箱	170
		8		
クルックーの護衛.データ.００５８		35	道（─）	
		10		
クルックーの護衛.データ.００５９		35	道（─）	
		15		
クルックーの護衛.データ.００６０		35	道（─）	
		17		
クルックーの護衛.データ.００６１		36	箱	171
		7		
クルックーの護衛.データ.００６２		36	道（─）	
		8		
クルックーの護衛.データ.００６３		36	道（─）	
		10		
クルックーの護衛.データ.００６４		36	箱	250
		12		
クルックーの護衛.データ.００６５		36	箱	225
		15		
クルックーの護衛.データ.００６６		36	箱	235
		17		
クルックーの護衛.データ.００６７		37	道（─）	
		7		
クルックーの護衛.データ.００６８		37	道（─）	
		8		
クルックーの護衛.データ.００６９		37	箱	120
		10		
クルックーの護衛.データ.００７０		37	道（─）	
		12		
クルックーの護衛.データ.００７１		37	道（┐）	
		15		
クルックーの護衛.データ.００７２		37	道（├）	
		16		
クルックーの護衛.データ.００７３		37	道（┘）	
		17		
クルックーの護衛.データ.００７４		38	箱	172
		7		
クルックーの護衛.データ.００７５		38	道（─）	
		8		
クルックーの護衛.データ.００７６		38	道（─）	
		12		
クルックーの護衛.データ.００７７		38	箱	236
		16		
クルックーの護衛.データ.００７８		39	道（┐）	
		7		
クルックーの護衛.データ.００７９		39	道（┴）	
		8		
クルックーの護衛.データ.００８０		39	箱	260
		12		
クルックーの護衛.データ.００８１		39	道（─）	
		16		
クルックーの護衛.データ.００８２		40	箱	180
		8		
クルックーの護衛.データ.００８３		40	箱	265
		10		
クルックーの護衛.データ.００８４		40	道（│）	
		11		
クルックーの護衛.データ.００８５		40	道（┘）	
		12		
クルックーの護衛.データ.００８６		40	道（─）	
		16		
クルックーの護衛.データ.００８７		41	道（─）	
		8		
クルックーの護衛.データ.００８８		41	道（─）	
		10		
クルックーの護衛.データ.００８９		41	箱	240
		16		
クルックーの護衛.データ.００９０		42	道（─）	
		8		
クルックーの護衛.データ.００９１		42	箱	270
		10		
クルックーの護衛.データ.００９２		43	箱	190
		8		
クルックーの護衛.データ.００９３		43	道（─）	
		10		
クルックーの護衛.データ.００９４		44	道（─）	
		10		
クルックーの護衛.データ.００９５		45	道（┐）	
		10		
クルックーの護衛.データ.００９６		45	箱	280
		11		
ケイブリス城突貫	53			
	30			
ケイブリス城突貫.データ.０００１		4	箱	1
		13		
ケイブリス城突貫.データ.０００２		5	道（─）	
		13		
ケイブリス城突貫.データ.０００３		6	箱	2
		13		
ケイブリス城突貫.データ.０００４		7	道（─）	
		13		
ケイブリス城突貫.データ.０００５		8	箱	3
		13		
ケイブリス城突貫.データ.０００６		9	道（─）	
		13		
ケイブリス城突貫.データ.０００７		10	箱	4
		13		
ケイブリス城突貫.データ.０００８		11	道（─）	
		13		
ケイブリス城突貫.データ.０００９		12	道（┌）	
		12		
ケイブリス城突貫.データ.００１０		12	道（┘）	
		13		
ケイブリス城突貫.データ.００１１		13	箱	10
		12		
ケイブリス城突貫.データ.００１２		14	道（─）	
		12		
ケイブリス城突貫.データ.００１３		15	箱	20
		12		
ケイブリス城突貫.データ.００１４		16	道（─）	
		12		
ケイブリス城突貫.データ.００１５		17	箱	30
		12		
ケイブリス城突貫.データ.００１６		18	道（─）	
		12		
ケイブリス城突貫.データ.００１７		19	箱	40
		12		
ケイブリス城突貫.データ.００１８		20	道（─）	
		12		
ケイブリス城突貫.データ.００１９		21	箱	50
		12		
ケイブリス城突貫.データ.００２０		21	道（└）	
		13		
ケイブリス城突貫.データ.００２１		22	道（─）	
		12		
ケイブリス城突貫.データ.００２２		22	箱	55
		13		
ケイブリス城突貫.データ.００２３		23	道（┬）	
		12		
ケイブリス城突貫.データ.００２４		23	道（┘）	
		13		
ケイブリス城突貫.データ.００２５		24	箱	70
		12		
ケイブリス城突貫.データ.００２６		25	道（─）	
		12		
ケイブリス城突貫.データ.００２７		26	箱	80
		12		
ケイブリス城突貫.データ.００２８		26	道（└）	
		13		
ケイブリス城突貫.データ.００２９		27	道（─）	
		12		
ケイブリス城突貫.データ.００３０		27	箱	85
		13		
ケイブリス城突貫.データ.００３１		28	道（┬）	
		12		
ケイブリス城突貫.データ.００３２		28	道（┘）	
		13		
ケイブリス城突貫.データ.００３３		29	箱	90
		12		
ケイブリス城突貫.データ.００３４		29	道（└）	
		13		
ケイブリス城突貫.データ.００３５		30	道（─）	
		12		
ケイブリス城突貫.データ.００３６		30	箱	95
		13		
ケイブリス城突貫.データ.００３７		31	道（┬）	
		12		
ケイブリス城突貫.データ.００３８		31	道（┘）	
		13		
ケイブリス城突貫.データ.００３９		32	箱	100
		12		
ケイブリス城突貫.データ.００４０		32	道（└）	
		13		
ケイブリス城突貫.データ.００４１		33	道（─）	
		12		
ケイブリス城突貫.データ.００４２		33	箱	105
		13		
ケイブリス城突貫.データ.００４３		34	道（┬）	
		12		
ケイブリス城突貫.データ.００４４		34	道（┘）	
		13		
ケイブリス城突貫.データ.００４５		35	箱	110
		12		
ケイブリス城突貫.データ.００４６		36	道（┌）	
		11		
ケイブリス城突貫.データ.００４７		36	道（┘）	
		12		
ケイブリス城突貫.データ.００４８		37	道（─）	
		11		
ケイブリス城突貫.データ.００４９		38	箱	200
		11		
ケイブリス城突貫.データ.００５０		39	道（─）	
		11		
ケイブリス城突貫.データ.００５１		40	箱	210
		11		
ケイブリス城突貫.データ.００５２		41	道（─）	
		11		
ケイブリス城突貫.データ.００５３		42	箱	220
		11		
ケイブリス城突貫.データ.００５４		43	道（─）	
		11		
ケイブリス城突貫.データ.００５５		44	箱	230
		11		
ケイブリス城突貫.データ.００５６		45	道（─）	
		11		
ケイブリス城突貫.データ.００５７		46	箱	240
		11		
ケイブリス城突貫.データ.００５８		47	道（─）	
		11		
ケイブリス城突貫.データ.００５９		48	箱	250
		11		
ケイブリス城突貫.データ.００６０		49	道（─）	
		11		
ケイブリス城突貫.データ.００６１		50	箱	260
		11		
ケイブリス城突貫.データ.００６２		51	道（─）	
		11		
ケイブリス城突貫.データ.００６３		52	箱	270
		11		
ケイブリス突貫作戦	125			
	30			
ケイブリス突貫作戦.データ.０００１		3	箱	1
		11		
ケイブリス突貫作戦.データ.０００２		4	道（─）	
		11		
ケイブリス突貫作戦.データ.０００３		5	箱	2
		11		
ケイブリス突貫作戦.データ.０００４		6	道（─）	
		11		
ケイブリス突貫作戦.データ.０００５		7	箱	3
		11		
ケイブリス突貫作戦.データ.０００６		8	道（─）	
		11		
ケイブリス突貫作戦.データ.０００７		9	道（┌）	
		10		
ケイブリス突貫作戦.データ.０００８		9	道（┘）	
		11		
ケイブリス突貫作戦.データ.０００９		10	道（─）	4
		10		
ケイブリス突貫作戦.データ.００１０		11	道（┐）	
		10		
ケイブリス突貫作戦.データ.００１１		11	道（│）	
		11		
ケイブリス突貫作戦.データ.００１２		11	箱	5
		12		
ケイブリス突貫作戦.データ.００１３		12	道（─）	
		12		
ケイブリス突貫作戦.データ.００１４		13	道（┌）	6
		11		
ケイブリス突貫作戦.データ.００１５		13	道（┘）	
		12		
ケイブリス突貫作戦.データ.００１６		14	道（─）	
		11		
ケイブリス突貫作戦.データ.００１７		15	道（─）	
		11		
ケイブリス突貫作戦.データ.００１８		16	箱	10
		11		
ケイブリス突貫作戦.データ.００１９		17	道（┐）	
		11		
ケイブリス突貫作戦.データ.００２０		17	道（└）	
		12		
ケイブリス突貫作戦.データ.００２１		18	箱	11
		12		
ケイブリス突貫作戦.データ.００２２		19	道（─）	
		12		
ケイブリス突貫作戦.データ.００２３		20	道（─）	12
		12		
ケイブリス突貫作戦.データ.００２４		21	道（─）	
		12		
ケイブリス突貫作戦.データ.００２５		22	箱	20
		12		
ケイブリス突貫作戦.データ.００２６		23	道（─）	
		12		
ケイブリス突貫作戦.データ.００２７		24	道（─）	
		12		
ケイブリス突貫作戦.データ.００２８		25	箱	30
		12		
ケイブリス突貫作戦.データ.００２９		25	道（└）	
		13		
ケイブリス突貫作戦.データ.００３０		26	道（─）	
		12		
ケイブリス突貫作戦.データ.００３１		26	道（┐）	
		13		
ケイブリス突貫作戦.データ.００３２		26	道（└）	
		14		
ケイブリス突貫作戦.データ.００３３		27	道（─）	
		12		
ケイブリス突貫作戦.データ.００３４		27	道（─）	51
		14		
ケイブリス突貫作戦.データ.００３５		28	箱	41
		12		
ケイブリス突貫作戦.データ.００３６		28	道（─）	
		14		
ケイブリス突貫作戦.データ.００３７		29	道（─）	
		12		
ケイブリス突貫作戦.データ.００３８		29	道（─）	
		14		
ケイブリス突貫作戦.データ.００３９		30	道（─）	
		12		
ケイブリス突貫作戦.データ.００４０		30	道（─）	52
		14		
ケイブリス突貫作戦.データ.００４１		31	箱	42
		12		
ケイブリス突貫作戦.データ.００４２		31	道（─）	
		14		
ケイブリス突貫作戦.データ.００４３		32	道（─）	
		12		
ケイブリス突貫作戦.データ.００４４		32	道（─）	53
		14		
ケイブリス突貫作戦.データ.００４５		33	道（┐）	
		12		
ケイブリス突貫作戦.データ.００４６		33	道（├）	
		13		
ケイブリス突貫作戦.データ.００４７		33	道（┘）	
		14		
ケイブリス突貫作戦.データ.００４８		34	箱	60
		13		
ケイブリス突貫作戦.データ.００４９		35	道（─）	
		13		
ケイブリス突貫作戦.データ.００５０		36	道（─）	65
		13		
ケイブリス突貫作戦.データ.００５１		37	道（─）	
		13		
ケイブリス突貫作戦.データ.００５２		38	箱	70
		13		
ケイブリス突貫作戦.データ.００５３		39	道（─）	
		13		
ケイブリス突貫作戦.データ.００５４		40	道（─）	75
		13		
ケイブリス突貫作戦.データ.００５５		41	道（─）	
		13		
ケイブリス突貫作戦.データ.００５６		42	箱	80
		13		
ケイブリス突貫作戦.データ.００５７		42	道（└）	
		14		
ケイブリス突貫作戦.データ.００５８		43	道（─）	
		13		
ケイブリス突貫作戦.データ.００５９		43	道（┐）	
		14		
ケイブリス突貫作戦.データ.００６０		43	道（└）	
		15		
ケイブリス突貫作戦.データ.００６１		44	道（─）	
		13		
ケイブリス突貫作戦.データ.００６２		44	箱	91
		15		
ケイブリス突貫作戦.データ.００６３		45	箱	81
		13		
ケイブリス突貫作戦.データ.００６４		45	道（┐）	
		15		
ケイブリス突貫作戦.データ.００６５		45	道（└）	
		16		
ケイブリス突貫作戦.データ.００６６		46	道（─）	
		13		
ケイブリス突貫作戦.データ.００６７		46	道（─）	
		16		
ケイブリス突貫作戦.データ.００６８		47	道（─）	
		13		
ケイブリス突貫作戦.データ.００６９		47	箱	92
		16		
ケイブリス突貫作戦.データ.００７０		48	箱	82
		13		
ケイブリス突貫作戦.データ.００７１		48	道（─）	
		16		
ケイブリス突貫作戦.データ.００７２		49	道（┐）	
		13		
ケイブリス突貫作戦.データ.００７３		49	道（│）	
		14		
ケイブリス突貫作戦.データ.００７４		49	道（├）	
		15		
ケイブリス突貫作戦.データ.００７５		49	道（┘）	
		16		
ケイブリス突貫作戦.データ.００７６		50	箱	100
		15		
ケイブリス突貫作戦.データ.００７７		51	道（─）	
		15		
ケイブリス突貫作戦.データ.００７８		52	道（─）	
		15		
ケイブリス突貫作戦.データ.００７９		53	箱	110
		15		
ケイブリス突貫作戦.データ.００８０		54	道（─）	
		15		
ケイブリス突貫作戦.データ.００８１		55	道（─）	
		15		
ケイブリス突貫作戦.データ.００８２		56	箱	120
		15		
ケイブリス突貫作戦.データ.００８３		56	道（└）	
		16		
ケイブリス突貫作戦.データ.００８４		57	道（─）	
		15		
ケイブリス突貫作戦.データ.００８５		57	道（─）	126
		16		
ケイブリス突貫作戦.データ.００８６		58	箱	125
		15		
ケイブリス突貫作戦.データ.００８７		58	道（─）	
		16		
ケイブリス突貫作戦.データ.００８８		59	道（─）	
		15		
ケイブリス突貫作戦.データ.００８９		59	道（─）	
		16		
ケイブリス突貫作戦.データ.００９０		60	箱	130
		15		
ケイブリス突貫作戦.データ.００９１		60	道（┘）	
		16		
ケイブリス突貫作戦.データ.００９２		61	道（┌）	
		14		
ケイブリス突貫作戦.データ.００９３		61	道（┘）	
		15		
ケイブリス突貫作戦.データ.００９４		62	道（─）	
		14		
ケイブリス突貫作戦.データ.００９５		63	箱	140
		14		
ケイブリス突貫作戦.データ.００９６		63	道（└）	
		15		
ケイブリス突貫作戦.データ.００９７		64	道（─）	
		14		
ケイブリス突貫作戦.データ.００９８		64	道（─）	146
		15		
ケイブリス突貫作戦.データ.００９９		65	箱	145
		14		
ケイブリス突貫作戦.データ.０１００		65	道（─）	
		15		
ケイブリス突貫作戦.データ.０１０１		66	道（─）	
		14		
ケイブリス突貫作戦.データ.０１０２		66	道（─）	
		15		
ケイブリス突貫作戦.データ.０１０３		67	箱	150
		14		
ケイブリス突貫作戦.データ.０１０４		67	道（┘）	
		15		
ケイブリス突貫作戦.データ.０１０５		68	道（┌）	
		13		
ケイブリス突貫作戦.データ.０１０６		68	道（┘）	
		14		
ケイブリス突貫作戦.データ.０１０７		69	道（─）	
		13		
ケイブリス突貫作戦.データ.０１０８		70	道（─）	
		13		
ケイブリス突貫作戦.データ.０１０９		71	箱	160
		13		
ケイブリス突貫作戦.データ.０１１０		71	道（└）	
		14		
ケイブリス突貫作戦.データ.０１１１		72	道（─）	
		13		
ケイブリス突貫作戦.データ.０１１２		72	道（─）	166
		14		
ケイブリス突貫作戦.データ.０１１３		73	箱	165
		13		
ケイブリス突貫作戦.データ.０１１４		73	道（─）	
		14		
ケイブリス突貫作戦.データ.０１１５		74	道（─）	
		13		
ケイブリス突貫作戦.データ.０１１６		74	道（─）	
		14		
ケイブリス突貫作戦.データ.０１１７		75	箱	170
		13		
ケイブリス突貫作戦.データ.０１１８		75	道（┘）	
		14		
ケイブリス突貫作戦.データ.０１１９		76	道（┐）	
		13		
ケイブリス突貫作戦.データ.０１２０		76	道（└）	
		14		
ケイブリス突貫作戦.データ.０１２１		77	道（─）	
		14		
ケイブリス突貫作戦.データ.０１２２		78	道（─）	
		14		
ケイブリス突貫作戦.データ.０１２３		79	箱	180
		14		
ケイブリス突貫作戦.データ.０１２４		79	道（└）	
		15		
ケイブリス突貫作戦.データ.０１２５		80	道（─）	
		14		
ケイブリス突貫作戦.データ.０１２６		80	道（─）	186
		15		
ケイブリス突貫作戦.データ.０１２７		81	箱	185
		14		
ケイブリス突貫作戦.データ.０１２８		81	道（─）	
		15		
ケイブリス突貫作戦.データ.０１２９		82	道（─）	
		14		
ケイブリス突貫作戦.データ.０１３０		82	道（─）	
		15		
ケイブリス突貫作戦.データ.０１３１		83	箱	190
		14		
ケイブリス突貫作戦.データ.０１３２		83	道（┘）	
		15		
ケイブリス突貫作戦.データ.０１３３		84	道（─）	
		14		
ケイブリス突貫作戦.データ.０１３４		85	道（─）	
		14		
ケイブリス突貫作戦.データ.０１３５		86	道（─）	
		14		
ケイブリス突貫作戦.データ.０１３６		87	道（┌）	
		13		
ケイブリス突貫作戦.データ.０１３７		87	箱	191
		14		
ケイブリス突貫作戦.データ.０１３８		87	道（└）	
		15		
ケイブリス突貫作戦.データ.０１３９		88	道（─）	193
		13		
ケイブリス突貫作戦.データ.０１４０		88	道（─）	
		15		
ケイブリス突貫作戦.データ.０１４１		89	道（─）	194
		13		
ケイブリス突貫作戦.データ.０１４２		89	道（─）	
		15		
ケイブリス突貫作戦.データ.０１４３		90	道（─）	195
		13		
ケイブリス突貫作戦.データ.０１４４		90	箱	196
		15		
ケイブリス突貫作戦.データ.０１４５		91	道（─）	
		13		
ケイブリス突貫作戦.データ.０１４６		91	道（┌）	
		14		
ケイブリス突貫作戦.データ.０１４７		91	道（┘）	
		15		
ケイブリス突貫作戦.データ.０１４８		92	道（┬）	
		13		
ケイブリス突貫作戦.データ.０１４９		92	道（┘）	
		14		
ケイブリス突貫作戦.データ.０１５０		93	箱	200
		13		
ケイブリス突貫作戦.データ.０１５１		94	道（─）	
		13		
ケイブリス突貫作戦.データ.０１５２		95	道（─）	
		13		
ケイブリス突貫作戦.データ.０１５３		96	道（┌）	
		12		
ケイブリス突貫作戦.データ.０１５４		96	道（┘）	205
		13		
ケイブリス突貫作戦.データ.０１５５		97	道（─）	
		12		
ケイブリス突貫作戦.データ.０１５６		98	箱	210
		12		
ケイブリス突貫作戦.データ.０１５７		99	道（┌）	
		11		
ケイブリス突貫作戦.データ.０１５８		99	道（┘）	
		12		
ケイブリス突貫作戦.データ.０１５９		100	道（─）	215
		11		
ケイブリス突貫作戦.データ.０１６０		101	道（─）	
		11		
ケイブリス突貫作戦.データ.０１６１		102	箱	220
		11		
ケイブリス突貫作戦.データ.０１６２		103	道（─）	
		11		
ケイブリス突貫作戦.データ.０１６３		104	道（─）	225
		11		
ケイブリス突貫作戦.データ.０１６４		105	道（─）	
		11		
ケイブリス突貫作戦.データ.０１６５		106	箱	230
		11		
ケイブリス突貫作戦.データ.０１６６		107	道（┌）	
		10		
ケイブリス突貫作戦.データ.０１６７		107	道（┘）	
		11		
ケイブリス突貫作戦.データ.０１６８		108	道（─）	235
		10		
ケイブリス突貫作戦.データ.０１６９		109	道（─）	
		10		
ケイブリス突貫作戦.データ.０１７０		110	箱	240
		10		
ケイブリス突貫作戦.データ.０１７１		111	道（─）	
		10		
ケイブリス突貫作戦.データ.０１７２		112	道（─）	
		10		
ケイブリス突貫作戦.データ.０１７３		113	道（─）	245
		10		
ケイブリス突貫作戦.データ.０１７４		114	道（─）	
		10		
ケイブリス突貫作戦.データ.０１７５		115	箱	250
		10		
ケイブリス突貫作戦.データ.０１７６		116	道（┐）	
		10		
ケイブリス突貫作戦.データ.０１７７		116	道（│）	
		11		
ケイブリス突貫作戦.データ.０１７８		116	道（│）	
		12		
ケイブリス突貫作戦.データ.０１７９		116	道（└）	
		13		
ケイブリス突貫作戦.データ.０１８０		117	道（─）	
		13		
ケイブリス突貫作戦.データ.０１８１		118	箱	270
		13		
ケイブリス突貫作戦.データ.０１８２		119	道（─）	
		13		
ケイブリス突貫作戦.データ.０１８３		120	箱	280
		13		
サイサイツリー攻撃／飛行	27			
	30			
サイサイツリー攻撃／飛行.データ.０００１		3	箱	1
		4		
サイサイツリー攻撃／飛行.データ.０００２		4	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.０００３		5	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.０００４		6	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.０００５		7	箱	10
		4		
サイサイツリー攻撃／飛行.データ.０００６		8	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.０００７		9	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.０００８		10	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.０００９		11	箱	20
		4		
サイサイツリー攻撃／飛行.データ.００１０		12	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.００１１		13	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.００１２		14	箱	30
		4		
サイサイツリー攻撃／飛行.データ.００１３		15	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.００１４		16	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.００１５		17	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.００１６		18	箱	40
		4		
サイサイツリー攻撃／飛行.データ.００１７		19	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.００１８		20	道（─）	
		4		
サイサイツリー攻撃／飛行.データ.００１９		21	箱	50
		4		
シャングリラ強襲	120			
	30			
シャングリラ強襲.データ.０００１		3	箱	1
		13		
シャングリラ強襲.データ.０００２		4	道（─）	
		13		
シャングリラ強襲.データ.０００３		5	道（┐）	
		13		
シャングリラ強襲.データ.０００４		5	道（└）	
		14		
シャングリラ強襲.データ.０００５		6	道（─）	5
		14		
シャングリラ強襲.データ.０００６		7	道（─）	
		14		
シャングリラ強襲.データ.０００７		8	道（┌）	
		13		
シャングリラ強襲.データ.０００８		8	道（┘）	
		14		
シャングリラ強襲.データ.０００９		9	道（┌）	
		12		
シャングリラ強襲.データ.００１０		9	箱	10
		13		
シャングリラ強襲.データ.００１１		9	道（└）	
		14		
シャングリラ強襲.データ.００１２		10	道（─）	21
		12		
シャングリラ強襲.データ.００１３		10	道（─）	
		14		
シャングリラ強襲.データ.００１４		11	道（─）	
		12		
シャングリラ強襲.データ.００１５		11	道（─）	25
		14		
シャングリラ強襲.データ.００１６		12	箱	22
		12		
シャングリラ強襲.データ.００１７		12	道（─）	
		14		
シャングリラ強襲.データ.００１８		13	道（─）	
		12		
シャングリラ強襲.データ.００１９		13	道（─）	26
		14		
シャングリラ強襲.データ.００２０		14	道（┐）	
		12		
シャングリラ強襲.データ.００２１		14	道（│）	
		13		
シャングリラ強襲.データ.００２２		14	道（┴）	
		14		
シャングリラ強襲.データ.００２３		15	箱	30
		14		
シャングリラ強襲.データ.００２４		15	道（│）	
		15		
シャングリラ強襲.データ.００２５		15	道（└）	
		16		
シャングリラ強襲.データ.００２６		16	道（─）	
		14		
シャングリラ強襲.データ.００２７		16	道（─）	
		16		
シャングリラ強襲.データ.００２８		17	箱	45
		14		
シャングリラ強襲.データ.００２９		17	道（─）	
		16		
シャングリラ強襲.データ.００３０		18	道（┬）	
		14		
シャングリラ強襲.データ.００３１		18	道（│）	
		15		
シャングリラ強襲.データ.００３２		18	箱	40
		16		
シャングリラ強襲.データ.００３３		19	道（─）	
		14		
シャングリラ強襲.データ.００３４		20	箱	100
		14		
シャングリラ強襲.データ.００３５		21	道（─）	
		14		
シャングリラ強襲.データ.００３６		22	道（┐）	
		14		
シャングリラ強襲.データ.００３７		22	道（└）	
		15		
シャングリラ強襲.データ.００３８		23	道（─）	105
		15		
シャングリラ強襲.データ.００３９		24	道（─）	
		15		
シャングリラ強襲.データ.００４０		25	箱	110
		13		
シャングリラ強襲.データ.００４１		25	道（│）	
		14		
シャングリラ強襲.データ.００４２		25	道（┘）	
		15		
シャングリラ強襲.データ.００４３		26	道（─）	
		13		
シャングリラ強襲.データ.００４４		27	道（┐）	115
		13		
シャングリラ強襲.データ.００４５		27	道（│）	
		14		
シャングリラ強襲.データ.００４６		27	道（└）	
		15		
シャングリラ強襲.データ.００４７		28	道（┌）	
		14		
シャングリラ強襲.データ.００４８		28	箱	120
		15		
シャングリラ強襲.データ.００４９		29	箱	130
		13		
シャングリラ強襲.データ.００５０		29	道（┘）	
		14		
シャングリラ強襲.データ.００５１		29	道（─）	
		15		
シャングリラ強襲.データ.００５２		30	道（┌）	
		12		
シャングリラ強襲.データ.００５３		30	道（┘）	
		13		
シャングリラ強襲.データ.００５４		30	道（─）	
		15		
シャングリラ強襲.データ.００５５		31	道（─）	
		12		
シャングリラ強襲.データ.００５６		31	箱	140
		14		
シャングリラ強襲.データ.００５７		31	道（┘）	
		15		
シャングリラ強襲.データ.００５８		32	箱	158
		10		
シャングリラ強襲.データ.００５９		32	道（│）	
		11		
シャングリラ強襲.データ.００６０		32	箱	155
		12		
シャングリラ強襲.データ.００６１		32	道（─）	
		14		
シャングリラ強襲.データ.００６２		33	道（─）	
		10		
シャングリラ強襲.データ.００６３		33	道（┐）	
		12		
シャングリラ強襲.データ.００６４		33	道（└）	
		13		
シャングリラ強襲.データ.００６５		33	道（─）	
		14		
シャングリラ強襲.データ.００６６		34	道（┌）	
		9		
シャングリラ強襲.データ.００６７		34	箱	160
		10		
シャングリラ強襲.データ.００６８		34	道（│）	
		11		
シャングリラ強襲.データ.００６９		34	道（│）	
		12		
シャングリラ強襲.データ.００７０		34	道（┤）	
		13		
シャングリラ強襲.データ.００７１		34	道（┴）	
		14		
シャングリラ強襲.データ.００７２		35	箱	168
		9		
シャングリラ強襲.データ.００７３		35	箱	150
		14		
シャングリラ強襲.データ.００７４		36	道（─）	
		9		
シャングリラ強襲.データ.００７５		36	道（┌）	
		12		
シャングリラ強襲.データ.００７６		36	道（├）	
		13		
シャングリラ強襲.データ.００７７		36	道（┘）	
		14		
シャングリラ強襲.データ.００７８		37	箱	170
		9		
シャングリラ強襲.データ.００７９		37	道（┌）	
		11		
シャングリラ強襲.データ.００８０		37	道（┘）	
		12		
シャングリラ強襲.データ.００８１		37	道（─）	
		13		
シャングリラ強襲.データ.００８２		38	道（┐）	
		9		
シャングリラ強襲.データ.００８３		38	道（│）	
		10		
シャングリラ強襲.データ.００８４		38	道（┘）	
		11		
シャングリラ強襲.データ.００８５		38	箱	190
		13		
シャングリラ強襲.データ.００８６		39	道（─）	
		13		
シャングリラ強襲.データ.００８７		40	道（─）	
		13		
シャングリラ強襲.データ.００８８		41	箱	200
		13		
シャングリラ強襲.データ.００８９		42	道（─）	
		13		
シャングリラ強襲.データ.００９０		43	箱	205
		13		
シャングリラ強襲.データ.００９１		44	道（─）	
		13		
シャングリラ強襲.データ.００９２		45	道（┌）	
		12		
シャングリラ強襲.データ.００９３		45	箱	210
		13		
シャングリラ強襲.データ.００９４		45	道（└）	
		14		
シャングリラ強襲.データ.００９５		46	道（─）	
		12		
シャングリラ強襲.データ.００９６		46	道（─）	
		14		
シャングリラ強襲.データ.００９７		47	箱	211
		12		
シャングリラ強襲.データ.００９８		47	道（─）	
		14		
シャングリラ強襲.データ.００９９		48	道（┌）	
		11		
シャングリラ強襲.データ.０１００		48	道（┘）	
		12		
シャングリラ強襲.データ.０１０１		48	箱	213
		14		
シャングリラ強襲.データ.０１０２		49	箱	212
		11		
シャングリラ強襲.データ.０１０３		49	道（┌）	
		13		
シャングリラ強襲.データ.０１０４		49	道（┘）	
		14		
シャングリラ強襲.データ.０１０５		50	道（┐）	
		11		
シャングリラ強襲.データ.０１０６		50	道（│）	
		12		
シャングリラ強襲.データ.０１０７		50	道（┴）	
		13		
シャングリラ強襲.データ.０１０８		51	箱	220
		13		
シャングリラ強襲.データ.０１０９		52	道（─）	
		13		
シャングリラ強襲.データ.０１１０		53	道（─）	225
		13		
シャングリラ強襲.データ.０１１１		54	道（┌）	
		12		
シャングリラ強襲.データ.０１１２		54	箱	230
		13		
シャングリラ強襲.データ.０１１３		54	道（└）	
		14		
シャングリラ強襲.データ.０１１４		55	道（─）	
		12		
シャングリラ強襲.データ.０１１５		55	道（─）	
		14		
シャングリラ強襲.データ.０１１６		56	箱	231
		12		
シャングリラ強襲.データ.０１１７		56	道（─）	
		14		
シャングリラ強襲.データ.０１１８		57	道（┐）	
		12		
シャングリラ強襲.データ.０１１９		57	道（└）	
		13		
シャングリラ強襲.データ.０１２０		57	箱	232
		14		
シャングリラ強襲.データ.０１２１		58	道（┬）	
		13		
シャングリラ強襲.データ.０１２２		58	道（┘）	
		14		
シャングリラ強襲.データ.０１２３		59	道（─）	
		13		
シャングリラ強襲.データ.０１２４		60	箱	250
		13		
シャングリラ強襲.データ.０１２５		61	道（─）	
		13		
シャングリラ強襲.データ.０１２６		62	箱	260
		13		
シャングリラ強襲.データ.０１２７		63	道（─）	
		13		
シャングリラ強襲.データ.０１２８		64	道（┌）	
		12		
シャングリラ強襲.データ.０１２９		64	箱	270
		13		
シャングリラ強襲.データ.０１３０		64	道（└）	
		14		
シャングリラ強襲.データ.０１３１		65	道（─）	
		12		
シャングリラ強襲.データ.０１３２		65	道（─）	
		14		
